word_index,file_offset_hex,vma_hex,value_u16,value_hex
393,0x0005a012,0x67dca012,32,0x0020
394,0x0005a014,0x67dca014,32,0x0020
395,0x0005a016,0x67dca016,32,0x0020
396,0x0005a018,0x67dca018,32,0x0020
397,0x0005a01a,0x67dca01a,32,0x0020
398,0x0005a01c,0x67dca01c,32,0x0020
399,0x0005a01e,0x67dca01e,32,0x0020
400,0x0005a020,0x67dca020,32,0x0020
401,0x0005a022,0x67dca022,32,0x0020
402,0x0005a024,0x67dca024,32,0x0020
403,0x0005a026,0x67dca026,32,0x0020
404,0x0005a028,0x67dca028,32,0x0020
405,0x0005a02a,0x67dca02a,32,0x0020
406,0x0005a02c,0x67dca02c,32,0x0020
407,0x0005a02e,0x67dca02e,32,0x0020
408,0x0005a030,0x67dca030,32,0x0020
409,0x0005a032,0x67dca032,32,0x0020
410,0x0005a034,0x67dca034,32,0x0020
411,0x0005a036,0x67dca036,32,0x0020
412,0x0005a038,0x67dca038,32,0x0020
413,0x0005a03a,0x67dca03a,32,0x0020
414,0x0005a03c,0x67dca03c,32,0x0020
415,0x0005a03e,0x67dca03e,32,0x0020
416,0x0005a040,0x67dca040,32,0x0020
417,0x0005a042,0x67dca042,32,0x0020
418,0x0005a044,0x67dca044,32,0x0020
419,0x0005a046,0x67dca046,32,0x0020
420,0x0005a048,0x67dca048,32,0x0020
421,0x0005a04a,0x67dca04a,72,0x0048
422,0x0005a04c,0x67dca04c,16,0x0010
423,0x0005a04e,0x67dca04e,16,0x0010
424,0x0005a050,0x67dca050,16,0x0010
425,0x0005a052,0x67dca052,16,0x0010
426,0x0005a054,0x67dca054,16,0x0010
427,0x0005a056,0x67dca056,16,0x0010
428,0x0005a058,0x67dca058,16,0x0010
429,0x0005a05a,0x67dca05a,16,0x0010
430,0x0005a05c,0x67dca05c,16,0x0010
431,0x0005a05e,0x67dca05e,16,0x0010
432,0x0005a060,0x67dca060,16,0x0010
433,0x0005a062,0x67dca062,16,0x0010
434,0x0005a064,0x67dca064,16,0x0010
435,0x0005a066,0x67dca066,16,0x0010
436,0x0005a068,0x67dca068,16,0x0010
437,0x0005a06a,0x67dca06a,16,0x0010
438,0x0005a06c,0x67dca06c,16,0x0010
439,0x0005a06e,0x67dca06e,20,0x0014
440,0x0005a070,0x67dca070,20,0x0014
441,0x0005a072,0x67dca072,16,0x0010
442,0x0005a074,0x67dca074,16,0x0010
443,0x0005a076,0x67dca076,16,0x0010
444,0x0005a078,0x67dca078,16,0x0010
445,0x0005a07a,0x67dca07a,16,0x0010
446,0x0005a07c,0x67dca07c,20,0x0014
447,0x0005a07e,0x67dca07e,16,0x0010
448,0x0005a080,0x67dca080,16,0x0010
449,0x0005a082,0x67dca082,16,0x0010
450,0x0005a084,0x67dca084,16,0x0010
451,0x0005a086,0x67dca086,16,0x0010
452,0x0005a088,0x67dca088,16,0x0010
453,0x0005a08a,0x67dca08a,257,0x0101
454,0x0005a08c,0x67dca08c,257,0x0101
455,0x0005a08e,0x67dca08e,257,0x0101
456,0x0005a090,0x67dca090,257,0x0101
457,0x0005a092,0x67dca092,257,0x0101
458,0x0005a094,0x67dca094,257,0x0101
459,0x0005a096,0x67dca096,257,0x0101
460,0x0005a098,0x67dca098,257,0x0101
461,0x0005a09a,0x67dca09a,257,0x0101
462,0x0005a09c,0x67dca09c,257,0x0101
463,0x0005a09e,0x67dca09e,257,0x0101
464,0x0005a0a0,0x67dca0a0,257,0x0101
465,0x0005a0a2,0x67dca0a2,257,0x0101
466,0x0005a0a4,0x67dca0a4,257,0x0101
467,0x0005a0a6,0x67dca0a6,257,0x0101
468,0x0005a0a8,0x67dca0a8,257,0x0101
469,0x0005a0aa,0x67dca0aa,257,0x0101
470,0x0005a0ac,0x67dca0ac,257,0x0101
471,0x0005a0ae,0x67dca0ae,257,0x0101
472,0x0005a0b0,0x67dca0b0,257,0x0101
473,0x0005a0b2,0x67dca0b2,257,0x0101
474,0x0005a0b4,0x67dca0b4,257,0x0101
475,0x0005a0b6,0x67dca0b6,257,0x0101
476,0x0005a0b8,0x67dca0b8,16,0x0010
477,0x0005a0ba,0x67dca0ba,257,0x0101
478,0x0005a0bc,0x67dca0bc,257,0x0101
479,0x0005a0be,0x67dca0be,257,0x0101
480,0x0005a0c0,0x67dca0c0,257,0x0101
481,0x0005a0c2,0x67dca0c2,257,0x0101
482,0x0005a0c4,0x67dca0c4,257,0x0101
483,0x0005a0c6,0x67dca0c6,257,0x0101
484,0x0005a0c8,0x67dca0c8,258,0x0102
485,0x0005a0ca,0x67dca0ca,258,0x0102
486,0x0005a0cc,0x67dca0cc,258,0x0102
487,0x0005a0ce,0x67dca0ce,258,0x0102
488,0x0005a0d0,0x67dca0d0,258,0x0102
489,0x0005a0d2,0x67dca0d2,258,0x0102
490,0x0005a0d4,0x67dca0d4,258,0x0102
491,0x0005a0d6,0x67dca0d6,258,0x0102
492,0x0005a0d8,0x67dca0d8,258,0x0102
493,0x0005a0da,0x67dca0da,258,0x0102
494,0x0005a0dc,0x67dca0dc,258,0x0102
495,0x0005a0de,0x67dca0de,258,0x0102
496,0x0005a0e0,0x67dca0e0,258,0x0102
497,0x0005a0e2,0x67dca0e2,258,0x0102
498,0x0005a0e4,0x67dca0e4,258,0x0102
499,0x0005a0e6,0x67dca0e6,258,0x0102
500,0x0005a0e8,0x67dca0e8,258,0x0102
501,0x0005a0ea,0x67dca0ea,258,0x0102
