byte_index,file_offset_hex,vma_hex,value_signed,value_hex
2226,0x0005dad6,0x67dcdad6,1,0x01
2227,0x0005dad7,0x67dcdad7,0,0x00
2228,0x0005dad8,0x67dcdad8,-3,0xfd
2229,0x0005dad9,0x67dcdad9,0,0x00
2230,0x0005dada,0x67dcdada,1,0x01
2231,0x0005dadb,0x67dcdadb,0,0x00
2232,0x0005dadc,0x67dcdadc,-3,0xfd
2233,0x0005dadd,0x67dcdadd,0,0x00
2234,0x0005dade,0x67dcdade,1,0x01
2235,0x0005dadf,0x67dcdadf,0,0x00
2236,0x0005dae0,0x67dcdae0,-2,0xfe
2237,0x0005dae1,0x67dcdae1,1,0x01
2238,0x0005dae2,0x67dcdae2,2,0x02
2239,0x0005dae3,0x67dcdae3,0,0x00
2240,0x0005dae4,0x67dcdae4,0,0x00
2241,0x0005dae5,0x67dcdae5,-1,0xff
2242,0x0005dae6,0x67dcdae6,0,0x00
2243,0x0005dae7,0x67dcdae7,1,0x01
2244,0x0005dae8,0x67dcdae8,-1,0xff
2245,0x0005dae9,0x67dcdae9,-1,0xff
2246,0x0005daea,0x67dcdaea,0,0x00
2247,0x0005daeb,0x67dcdaeb,2,0x02
2248,0x0005daec,0x67dcdaec,-1,0xff
2249,0x0005daed,0x67dcdaed,-1,0xff
2250,0x0005daee,0x67dcdaee,0,0x00
2251,0x0005daef,0x67dcdaef,2,0x02
2252,0x0005daf0,0x67dcdaf0,-1,0xff
2253,0x0005daf1,0x67dcdaf1,-1,0xff
2254,0x0005daf2,0x67dcdaf2,0,0x00
2255,0x0005daf3,0x67dcdaf3,2,0x02
2256,0x0005daf4,0x67dcdaf4,-2,0xfe
2257,0x0005daf5,0x67dcdaf5,1,0x01
2258,0x0005daf6,0x67dcdaf6,2,0x02
2259,0x0005daf7,0x67dcdaf7,0,0x00
2260,0x0005daf8,0x67dcdaf8,-2,0xfe
2261,0x0005daf9,0x67dcdaf9,1,0x01
2262,0x0005dafa,0x67dcdafa,2,0x02
2263,0x0005dafb,0x67dcdafb,0,0x00
2264,0x0005dafc,0x67dcdafc,-1,0xff
2265,0x0005dafd,0x67dcdafd,2,0x02
2266,0x0005dafe,0x67dcdafe,2,0x02
2267,0x0005daff,0x67dcdaff,0,0x00
2268,0x0005db00,0x67dcdb00,-1,0xff
2269,0x0005db01,0x67dcdb01,1,0x01
2270,0x0005db02,0x67dcdb02,1,0x01
2271,0x0005db03,0x67dcdb03,0,0x00
2272,0x0005db04,0x67dcdb04,-1,0xff
2273,0x0005db05,0x67dcdb05,-1,0xff
2274,0x0005db06,0x67dcdb06,0,0x00
2275,0x0005db07,0x67dcdb07,2,0x02
2276,0x0005db08,0x67dcdb08,-1,0xff
2277,0x0005db09,0x67dcdb09,-1,0xff
2278,0x0005db0a,0x67dcdb0a,0,0x00
2279,0x0005db0b,0x67dcdb0b,2,0x02
2280,0x0005db0c,0x67dcdb0c,-1,0xff
2281,0x0005db0d,0x67dcdb0d,-1,0xff
2282,0x0005db0e,0x67dcdb0e,0,0x00
2283,0x0005db0f,0x67dcdb0f,2,0x02
2284,0x0005db10,0x67dcdb10,-1,0xff
2285,0x0005db11,0x67dcdb11,-1,0xff
2286,0x0005db12,0x67dcdb12,-1,0xff
2287,0x0005db13,0x67dcdb13,1,0x01
2288,0x0005db14,0x67dcdb14,-2,0xfe
2289,0x0005db15,0x67dcdb15,-2,0xfe
2290,0x0005db16,0x67dcdb16,-1,0xff
2291,0x0005db17,0x67dcdb17,1,0x01
2292,0x0005db18,0x67dcdb18,-2,0xfe
2293,0x0005db19,0x67dcdb19,-2,0xfe
2294,0x0005db1a,0x67dcdb1a,-1,0xff
2295,0x0005db1b,0x67dcdb1b,0,0x00
2296,0x0005db1c,0x67dcdb1c,-2,0xfe
2297,0x0005db1d,0x67dcdb1d,-2,0xfe
2298,0x0005db1e,0x67dcdb1e,-1,0xff
2299,0x0005db1f,0x67dcdb1f,0,0x00
2300,0x0005db20,0x67dcdb20,-1,0xff
2301,0x0005db21,0x67dcdb21,-1,0xff
2302,0x0005db22,0x67dcdb22,-1,0xff
2303,0x0005db23,0x67dcdb23,0,0x00
2304,0x0005db24,0x67dcdb24,3,0x03
2305,0x0005db25,0x67dcdb25,4,0x04
2306,0x0005db26,0x67dcdb26,3,0x03
2307,0x0005db27,0x67dcdb27,1,0x01
2308,0x0005db28,0x67dcdb28,2,0x02
2309,0x0005db29,0x67dcdb29,3,0x03
2310,0x0005db2a,0x67dcdb2a,2,0x02
2311,0x0005db2b,0x67dcdb2b,0,0x00
2312,0x0005db2c,0x67dcdb2c,1,0x01
2313,0x0005db2d,0x67dcdb2d,2,0x02
2314,0x0005db2e,0x67dcdb2e,1,0x01
2315,0x0005db2f,0x67dcdb2f,-1,0xff
2316,0x0005db30,0x67dcdb30,1,0x01
2317,0x0005db31,0x67dcdb31,2,0x02
2318,0x0005db32,0x67dcdb32,1,0x01
2319,0x0005db33,0x67dcdb33,-1,0xff
2320,0x0005db34,0x67dcdb34,-1,0xff
2321,0x0005db35,0x67dcdb35,-1,0xff
2322,0x0005db36,0x67dcdb36,-1,0xff
2323,0x0005db37,0x67dcdb37,0,0x00
2324,0x0005db38,0x67dcdb38,0,0x00
2325,0x0005db39,0x67dcdb39,-1,0xff
2326,0x0005db3a,0x67dcdb3a,-1,0xff
2327,0x0005db3b,0x67dcdb3b,0,0x00
2328,0x0005db3c,0x67dcdb3c,0,0x00
2329,0x0005db3d,0x67dcdb3d,-1,0xff
2330,0x0005db3e,0x67dcdb3e,-1,0xff
2331,0x0005db3f,0x67dcdb3f,0,0x00
2332,0x0005db40,0x67dcdb40,0,0x00
2333,0x0005db41,0x67dcdb41,-1,0xff
2334,0x0005db42,0x67dcdb42,-1,0xff
2335,0x0005db43,0x67dcdb43,0,0x00
2336,0x0005db44,0x67dcdb44,1,0x01
2337,0x0005db45,0x67dcdb45,1,0x01
2338,0x0005db46,0x67dcdb46,0,0x00
2339,0x0005db47,0x67dcdb47,-2,0xfe
2340,0x0005db48,0x67dcdb48,1,0x01
2341,0x0005db49,0x67dcdb49,1,0x01
2342,0x0005db4a,0x67dcdb4a,0,0x00
2343,0x0005db4b,0x67dcdb4b,-1,0xff
2344,0x0005db4c,0x67dcdb4c,1,0x01
2345,0x0005db4d,0x67dcdb4d,1,0x01
2346,0x0005db4e,0x67dcdb4e,1,0x01
2347,0x0005db4f,0x67dcdb4f,-1,0xff
2348,0x0005db50,0x67dcdb50,0,0x00
2349,0x0005db51,0x67dcdb51,1,0x01
2350,0x0005db52,0x67dcdb52,0,0x00
2351,0x0005db53,0x67dcdb53,-1,0xff
2352,0x0005db54,0x67dcdb54,-2,0xfe
2353,0x0005db55,0x67dcdb55,-1,0xff
2354,0x0005db56,0x67dcdb56,0,0x00
2355,0x0005db57,0x67dcdb57,1,0x01
2356,0x0005db58,0x67dcdb58,-2,0xfe
2357,0x0005db59,0x67dcdb59,-1,0xff
2358,0x0005db5a,0x67dcdb5a,0,0x00
2359,0x0005db5b,0x67dcdb5b,0,0x00
2360,0x0005db5c,0x67dcdb5c,-2,0xfe
2361,0x0005db5d,0x67dcdb5d,-1,0xff
2362,0x0005db5e,0x67dcdb5e,-1,0xff
2363,0x0005db5f,0x67dcdb5f,0,0x00
2364,0x0005db60,0x67dcdb60,-2,0xfe
2365,0x0005db61,0x67dcdb61,-1,0xff
2366,0x0005db62,0x67dcdb62,-1,0xff
2367,0x0005db63,0x67dcdb63,-1,0xff
2368,0x0005db64,0x67dcdb64,1,0x01
2369,0x0005db65,0x67dcdb65,1,0x01
2370,0x0005db66,0x67dcdb66,1,0x01
2371,0x0005db67,0x67dcdb67,1,0x01
2372,0x0005db68,0x67dcdb68,0,0x00
2373,0x0005db69,0x67dcdb69,0,0x00
2374,0x0005db6a,0x67dcdb6a,0,0x00
2375,0x0005db6b,0x67dcdb6b,0,0x00
2376,0x0005db6c,0x67dcdb6c,-1,0xff
2377,0x0005db6d,0x67dcdb6d,-1,0xff
2378,0x0005db6e,0x67dcdb6e,-2,0xfe
