index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
29,0x0005c380,0x67dcc380,f00000b0,240,0x00,0xb0,22,240
30,0x0005c384,0x67dcc384,f10000b0,241,0x00,0xb0,22,241
31,0x0005c388,0x67dcc388,f20000b0,242,0x00,0xb0,22,242
32,0x0005c38c,0x67dcc38c,f30000b0,243,0x00,0xb0,22,243
33,0x0005c390,0x67dcc390,f40000b0,244,0x00,0xb0,22,244
34,0x0005c394,0x67dcc394,f50000b0,245,0x00,0xb0,22,245
35,0x0005c398,0x67dcc398,f60000b0,246,0x00,0xb0,22,246
36,0x0005c39c,0x67dcc39c,f70000b0,247,0x00,0xb0,22,247
37,0x0005c3a0,0x67dcc3a0,f80000b0,248,0x00,0xb0,22,248
38,0x0005c3a4,0x67dcc3a4,020100b0,258,0x00,0xb0,22,258
39,0x0005c3a8,0x67dcc3a8,eb0000b0,235,0x00,0xb0,22,235
40,0x0005c3ac,0x67dcc3ac,f90000b0,249,0x00,0xb0,22,249
41,0x0005c3b0,0x67dcc3b0,fc0000b0,252,0x00,0xb0,22,252
42,0x0005c3b4,0x67dcc3b4,fd0000b0,253,0x00,0xb0,22,253
43,0x0005c3b8,0x67dcc3b8,fe0000b0,254,0x00,0xb0,22,254
44,0x0005c3bc,0x67dcc3bc,000100b0,256,0x00,0xb0,22,256
45,0x0005c3c0,0x67dcc3c0,5c0000b0,92,0x00,0xb0,22,92
46,0x0005c3c4,0x67dcc3c4,600000b0,96,0x00,0xb0,22,96
47,0x0005c3c8,0x67dcc3c8,010100b0,257,0x00,0xb0,22,257
48,0x0005c3cc,0x67dcc3cc,710000b0,113,0x00,0xb0,22,113
49,0x0005c3d0,0x67dcc3d0,040100b0,260,0x00,0xb0,22,260
50,0x0005c3d4,0x67dcc3d4,050100b0,261,0x00,0xb0,22,261
51,0x0005c3d8,0x67dcc3d8,fb0000b0,251,0x00,0xb0,22,251
52,0x0005c3dc,0x67dcc3dc,ff0000b0,255,0x00,0xb0,22,255
53,0x0005c3e0,0x67dcc3e0,860000a8,134,0x00,0xa8,21,134
54,0x0005c3e4,0x67dcc3e4,fa0000b0,250,0x00,0xb0,22,250
